,nu,tauv,ratio,g,N,gamma,gSteady
205,80.0,15.0,3.0,10.0,1000.0,5.828478383535384,6.554320691668835
206,80.0,30.0,0.2,10.0,1000.0,4.0262144245856915,4.027085003750667
207,80.0,30.0,0.5,10.0,1000.0,4.447959109821803,4.393990075970842
208,80.0,30.0,1.0,10.0,1000.0,4.956304195439689,5.038409665212245
209,80.0,30.0,2.0,10.0,1000.0,5.82504352195499,5.995090147042386
210,80.0,30.0,3.0,10.0,1000.0,6.451093122393149,6.305784686899059
211,80.0,45.0,0.2,10.0,1000.0,3.8634715672206053,3.83804267722975
212,80.0,45.0,0.5,10.0,1000.0,4.4387487472453255,4.477651552002167
213,80.0,45.0,1.0,10.0,1000.0,5.385383101378217,5.380539415961489
214,80.0,45.0,2.0,10.0,1000.0,6.849428155473562,6.84981380013593
215,80.0,45.0,3.0,10.0,1000.0,7.14517625354302,7.111896261341872
216,80.0,60.0,0.2,10.0,1000.0,3.933665383843618,3.9334924911564544
217,80.0,60.0,0.5,10.0,1000.0,4.721442044167295,4.762778941707949
218,80.0,60.0,1.0,10.0,1000.0,5.65769408701647,5.657686184042263
219,80.0,60.0,2.0,10.0,1000.0,8.552688047223391,8.865153151176225
220,80.0,60.0,3.0,10.0,1000.0,9.605119396031192,10.042713994044412
221,80.0,90.0,0.2,10.0,1000.0,4.785027475675238,4.786491890279482
222,80.0,90.0,0.5,10.0,1000.0,6.157794108556216,6.155800385505859
223,80.0,90.0,1.0,10.0,1000.0,9.771586378726296,9.77180173244625
224,80.0,90.0,2.0,10.0,1000.0,13.51852793969006,13.519226370853307
225,80.0,90.0,3.0,10.0,1000.0,13.395712555626655,13.395712555626657
226,90.0,15.0,0.2,10.0,1000.0,4.342202141989159,4.4345439274654135
227,90.0,15.0,0.5,10.0,1000.0,4.526460590642544,4.513866074909682
228,90.0,15.0,1.0,10.0,1000.0,4.869496213992216,4.920390860557365
229,90.0,15.0,2.0,10.0,1000.0,5.595208928242409,5.785221603159787
230,90.0,15.0,3.0,10.0,1000.0,6.1604223827221345,6.094468642080216
231,90.0,30.0,0.2,10.0,1000.0,3.81690359424436,3.8148141255910217
